sid,e1,e2,e3,e4,e5,e6,s1_DFT,s2_DFT,s3_DFT,s4_DFT,s5_DFT,s6_DFT,s1_SA,s2_SA,s3_SA,s4_SA,s5_SA,s6_SA,s1_MB,s2_MB,s3_MB,s4_MB,s5_MB,s6_MB
AlN_wz_strain_biax_ac_m0p0025,0.0025165092650122345,0.005037751482956931,0.0025157188203395187,9.342153164605107e-12,4.671076612309252e-12,0.001262592324079865,1.817471922,2.6884305740000003,1.6215669460000002,-1.9300000000000015e-07,-8.900000000000002e-08,1.4759999999999997e-06,1.9228493692912094,2.700878669622245,2.3733748287084224,1.8621841294686686e-07,-4.9375669514184704e-14,-1.0207056635439238e-06,2.18962348723913,3.1416702912026895,2.3797831117377695,1.8140308998111904e-07,-8.96163789980487e-14,-1.018445619074511e-06
AlN_wz_strain_biax_ac_p0p0025,0.0075668884918501655,0.005037751473591423,0.0075660953694894895,2.8166942973364375e-11,1.408347157715347e-11,-0.00126259726292896,4.325532232,3.4741842060000003,4.099751157,3.36e-07,-1.7099999999999998e-07,1.118e-06,4.632712960528198,3.8608929357543795,5.485231726138744,2.1687087385079976e-07,-5.5419157060565915e-15,-7.951826715476246e-07,5.315543224579382,4.399604853878316,5.23969380020678,2.195180409765357e-07,-3.151187758283079e-14,-6.902266522582738e-07
AlN_wz_strain_biax_ac_m0p0100,-0.004999872236217673,0.0050377514970053605,-0.005012500726697511,-1.8543830209579694e-11,-9.27191516435198e-12,0.005050375090978902,-2.1689673719999996,1.4352613570000001,-2.340763224,1.4399999999999997e-07,1.7199999999999998e-07,2.1000000000000436e-08,-2.2847336776958764,0.8570903958339862,-2.817214304064351,1.5021777152658997e-07,4.303222061540933e-15,-1.3727247656671017e-06,-2.9035809685038756,1.1091308374624098,-2.4706898836582263,1.3186325044273007e-07,-2.2872726758049456e-14,-1.5259585806164693e-06
AlN_wz_strain_biax_ac_p0p0100,0.015201638214921487,0.005037751459543216,0.01518900949917279,5.675534404417388e-11,2.83776722043832e-11,-0.00505038002894992,7.873809813,4.584454478,7.58681531,-1.5099999999999994e-07,-1.2299999999999998e-07,2.563e-06,8.538749298886605,5.496467391511763,9.648133254957585,2.6032155915027416e-07,-1.4397198600316827e-15,-4.7179450370906853e-07,9.579416698754315,6.139471208798492,9.004249749957193,2.672569202456145e-07,-2.3715113767698235e-15,-2.1992931924960124e-07
AlN_wz_strain_biax_bc_m0p0025,0.005038542390909728,0.002515719248635584,0.0025157188203395187,9.342153164605107e-12,4.671076612309252e-12,-0.0012594387332040477,2.68825654,1.817834509,1.621598467,1.8500000000000006e-07,-2.62e-07,1.6690000000000002e-06,2.7014008083710883,1.922319400189266,2.3733754486757492,2.1961292212051503e-07,2.7160413924428746e-14,1.589916841679558e-07,3.143253161083005,2.1880620849441437,2.3797802307957987,2.0895099979091386e-07,2.2244050648342048e-14,2.3718603655332744e-07
AlN_wz_strain_biax_bc_p0p0025,0.005038542388724365,0.007566096679596623,0.0075660953694894895,2.8166942973364375e-11,1.408347157715347e-11,0.0012657499941274553,3.4739276649999997,4.325604491,4.099717484,1.42e-07,-1.7000000000000001e-07,1.752e-06,3.8613924411896683,4.6322220995760075,5.485231257619377,4.508975660788506e-09,-1.1474812085247451e-14,2.3070141875983758e-07,4.401182280265866,5.313949854255844,5.239696706071204,4.140085490604824e-08,-6.166961123871332e-15,3.7018172937616667e-07
AlN_wz_strain_c_m0p0100,0.005037753268346434,0.005037751478274122,-0.005012500726697511,-1.8543830209579694e-11,-9.27191516435198e-12,-8.554005353466812e-10,2.453440831,2.453444172,-1.6393033270000001,2.5399999999999997e-07,-9.100000000000001e-08,1.752e-06,1.9208483868713402,1.920848323480517,-1.3361656617770874,1.994467807730628e-07,3.588703746064956e-14,1.2841464320832117e-07,2.1806658240469567,2.1806656146919776,-0.7091049289383392,1.8081808280976623e-07,2.749786610372623e-14,1.7723072765657796e-07
AlN_wz_strain_c_p0p0100,0.005037753268346434,0.005037751478274122,0.01518900949917279,5.675534404417388e-11,2.83776722043832e-11,-8.554005353452918e-10,3.678346775,3.678347082,7.053011881,8.1e-08,-1.21e-07,1.975e-06,4.543863501074118,4.543863599672876,8.444257960575047,2.083607372832293e-07,1.786145229963366e-14,2.6578936316029714e-07,5.244508170470634,5.244508252727256,7.655451889972488,2.214790005197756e-07,1.8184821480774426e-14,4.335377755839905e-07
AlN_wz_strain_shear_xy_m0p0300,-0.0036340026408783754,0.013974650270923261,0.0050377506101693115,1.8731134155726578e-11,9.365567138027075e-12,-0.026166778845669026,2.888794324,2.856716128,2.867014797,2.84e-07,-5.400000000000001e-08,-5.167808258000001,3.173036038998268,3.246954005121531,3.9971909330347284,1.6855828811975164e-08,-1.6266020909784127e-07,-4.63444717027205,3.2655531595486926,3.4913703952821535,3.65845726655219,4.229879463742173e-08,-1.6104308408498492e-07,-5.564072527452492
AlN_wz_strain_shear_xy_p0p0300,0.013861018645456302,-0.0035203690061356707,0.0050377506101693115,1.8731134155726578e-11,9.365567138027075e-12,0.026318284755819828,2.8887706339999997,2.856689632,2.8669903170000004,4.5800000000000005e-07,5.400000000000001e-08,5.1678115710000005,3.1730373119712234,3.2469551804680425,3.997191452001087,2.0682883596855517e-07,1.4227416634061385e-07,4.634447074111747,3.2655550625621506,3.4913720720007513,3.658458212033477,2.0740595781005337e-07,1.3869961688895e-07,5.56407255416547
